SZd-ID;Datierung;Sterbejahr;epidat;epidat_;Weblink
wld-01.001.001-00;1825;1825?;wdf-754;wdf-0754;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-754
wld-01.001.002-00;1824;1824;wdf-755;wdf-0755;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-755
wld-01.001.003-00;;;wdf-756;wdf-0756;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-756
wld-01.001.004-00;1820;1820;wdf-757;wdf-0757;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-757
wld-01.001.005-00;1824;1824?;wdf-758;wdf-0758;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-758
wld-01.001.006-00;;;wdf-759;wdf-0759;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-759
wld-01.001.007-00;1812;1812;wdf-760;wdf-0760;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-760
wld-01.001.008-00;;;wdf-761;wdf-0761;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-761
wld-01.001.009-00;;;wdf-762;wdf-0762;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-762
wld-01.001.010-00;;;wdf-763;wdf-0763;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-763
wld-01.001.011-00;1810;1810;wdf-764;wdf-0764;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-764
wld-01.001.012-00;1805;1805;wdf-765;wdf-0765;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-765
wld-01.001.013-00;1815;1815;wdf-766;wdf-0766;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-766
wld-01.001.014-00;;;wdf-767;wdf-0767;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-767
wld-01.001.015-00;1800;1799-1809;wdf-768;wdf-0768;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-768
wld-01.001.016-00;1824;1824;wdf-769;wdf-0769;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-769
wld-01.001.017-00;1835;1835;wdf-770;wdf-0770;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-770
wld-01.001.018-00;;;wdf-771;wdf-0771;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-771
wld-01.001.019-00;;;wdf-772;wdf-0772;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-772
wld-01.001.020-00;1833;1833;wdf-773;wdf-0773;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-773
wld-01.001.021-00;1801;1801;wdf-774;wdf-0774;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-774
wld-01.001.022-00;1804;1804;wdf-775;wdf-0775;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-775
wld-01.001.023-00;1800;1800;wdf-776;wdf-0776;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-776
wld-01.001.024-00;1800;1800;wdf-777;wdf-0777;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-777
wld-01.001.025-00;1842;1842;wdf-778;wdf-0778;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-778
wld-01.001.026-00;1842;1842;wdf-779;wdf-0779;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-779
wld-01.001.027-00;1841;1841;wdf-780;wdf-0780;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-780
wld-01.001.028-00;1800;1800;wdf-781;wdf-0781;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-781
wld-01.001.029-00;1800;1800;wdf-782;wdf-0782;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-782
wld-01.001.030-00;1800;1800;wdf-783;wdf-0783;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-783
wld-01.001.032-00;1801;1801;wdf-785;wdf-0785;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-785
wld-01.001.033-00;;;wdf-786;wdf-0786;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-786
wld-01.001.034-00;1804;1804;wdf-787;wdf-0787;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-787
wld-01.001.035-00;1814;1814;wdf-788;wdf-0788;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-788
wld-01.001.036-00;;;wdf-789;wdf-0789;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-789
wld-01.001.037-00;1804;1804;wdf-790;wdf-0790;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-790
wld-01.001.038-00;;;wdf-791;wdf-0791;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-791
wld-01.001.039-00;1804;1804;wdf-792;wdf-0792;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-792
wld-01.001.040-00;1808;1808?;wdf-793;wdf-0793;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-793
wld-01.001.041-00;;;wdf-794;wdf-0794;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-794
wld-01.001.042-00;;;wdf-795;wdf-0795;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-795
wld-01.001.043-00;1806;1806;wdf-796;wdf-0796;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-796
wld-01.001.044-00;;;wdf-797;wdf-0797;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-797
wld-01.001.045-00;;;wdf-798;wdf-0798;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-798
wld-01.002.001-00;1802;1802;wdf-836;wdf-0836;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-836
wld-01.002.002-00;1802;1802;wdf-838;wdf-0838;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-838
wld-01.002.003-00;1819;1819;wdf-840;wdf-0840;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-840
wld-01.003.001-00;1834;1833/34;wdf-842;wdf-0842;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-842
wld-01.003.002-00;1799;1799;wdf-844;wdf-0844;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-844
wld-01.003.003-00;1847;1847;wdf-846;wdf-0846;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-846
wld-01.003.004-00;;;wdf-848;wdf-0848;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-848
wld-01.004.001-00;1845;1845;wdf-887;wdf-0887;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-887
wld-01.004.002-00;1845;1845;wdf-889;wdf-0889;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-889
wld-01.004.003-00;1845;1845;wdf-891;wdf-0891;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-891
wld-01.004.004-00;1846;1846;wdf-893;wdf-0893;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-893
wld-01.004.005-00;1846;1846;wdf-895;wdf-0895;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-895
wld-01.004.006-00;1846;1846;wdf-897;wdf-0897;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-897
wld-01.004.007-00;1846;1846;wdf-899;wdf-0899;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-899
wld-01.004.008-00;1846;1846;wdf-901;wdf-0901;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-901
wld-01.005.001-00;;;wdf-903;wdf-0903;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-903
wld-01.005.002-00;1843;1843;wdf-905;wdf-0905;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-905
wld-01.005.003-00;;;wdf-907;wdf-0907;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-907
wld-01.005.004-00;1844;1844;wdf-909;wdf-0909;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-909
wld-01.005.005-00;1845;1845;wdf-911;wdf-0911;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-911
wld-01.005.006-00;1845;1845;wdf-913;wdf-0913;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-913
wld-01.005.007-00;1845;1845;wdf-915;wdf-0915;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-915
wld-01.005.008-00;1846;1846;wdf-917;wdf-0917;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-917
wld-01.005.009-00;1846;1846;wdf-919;wdf-0919;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-919
wld-01.005.010-00;1846;1846;wdf-921;wdf-0921;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-921
wld-01.006.001-00;1821;1821;wdf-699;wdf-0699;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-699
wld-01.006.002-00;1821;1821;wdf-700;wdf-0700;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-700
wld-01.006.003-00;1821;1820/21;wdf-701;wdf-0701;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-701
wld-01.006.004-00;1823;1823;wdf-702;wdf-0702;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-702
wld-01.006.005-00;;;wdf-703;wdf-0703;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-703
wld-01.006.006-00;1819;1819;wdf-704;wdf-0704;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-704
wld-01.006.007-00;1812;1811/12;wdf-705;wdf-0705;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-705
wld-01.006.008-00;1822;1822;wdf-706;wdf-0706;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-706
wld-01.006.009-00;;;wdf-707;wdf-0707;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-707
wld-01.006.010-00;1816;1816;wdf-708;wdf-0708;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-708
wld-01.006.011-00;;;wdf-709;wdf-0709;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-709
wld-01.006.012-00;1806;1806;wdf-710;wdf-0710;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-710
wld-01.006.013-00;1805;1805;wdf-711;wdf-0711;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-711
wld-01.006.014-00;1818;1818?;wdf-712;wdf-0712;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-712
wld-01.006.015-00;1808;1808;wdf-713;wdf-0713;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-713
wld-01.006.016-00;;;wdf-714;wdf-0714;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-714
wld-01.006.017-00;1806;1806;wdf-715;wdf-0715;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-715
wld-01.006.018-00;;;wdf-716;wdf-0716;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-716
wld-01.006.019-00;;;wdf-717;wdf-0717;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-717
wld-01.006.020-00;1841;1841;wdf-718;wdf-0718;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-718
wld-01.006.021-00;1805;1805;wdf-719;wdf-0719;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-719
wld-01.007.001-00;1837;1837;wdf-607;wdf-0607;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-607
wld-01.007.002-00;1826;1826;wdf-608;wdf-0608;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-608
wld-01.007.003-00;1825;1825;wdf-609;wdf-0609;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-609
wld-01.007.004-00;1824;1824;wdf-657;wdf-0657;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-657
wld-01.007.005-00;;;wdf-658;wdf-0658;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-658
wld-01.007.006-00;;;wdf-659;wdf-0659;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-659
wld-01.007.007-00;;;wdf-660;wdf-0660;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-660
wld-01.007.008-00;;;wdf-661;wdf-0661;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-661
wld-01.007.009-00;;;wdf-662;wdf-0662;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-662
wld-01.007.010-00;;;wdf-663;wdf-0663;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-663
wld-01.007.011-00;1835;1835?;wdf-664;wdf-0664;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-664
wld-01.007.012-00;1816;1815/16;wdf-665;wdf-0665;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-665
wld-01.007.013-00;;;wdf-666;wdf-0666;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-666
wld-01.007.014-00;1818;1818;wdf-667;wdf-0667;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-667
wld-01.007.015-00;1816;1816;wdf-668;wdf-0668;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-668
wld-01.007.016-00;;;wdf-669;wdf-0669;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-669
wld-01.007.017-00;1815;1815;wdf-670;wdf-0670;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-670
wld-01.007.018-00;1803;1803;wdf-671;wdf-0671;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-671
wld-01.007.019-00;1801;1801;wdf-672;wdf-0672;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-672
wld-01.007.020-00;1800;1800;wdf-673;wdf-0673;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-673
wld-01.007.021-00;1799;1799;wdf-674;wdf-0674;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-674
wld-01.007.022-00;1800;1800;wdf-720;wdf-0720;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-720
wld-01.007.023-00;1799;1799;wdf-721;wdf-0721;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-721
wld-01.007.024-00;1798;1798;wdf-722;wdf-0722;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-722
wld-01.007.025-00;;;wdf-723;wdf-0723;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-723
wld-01.007.026-00;1798;1798;wdf-724;wdf-0724;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-724
